GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
footballtournament-project,com.axonactive.footballtournament.team,Team,188,23,34,0,8,8,27,3,10,3
footballtournament-project,com.axonactive.footballtournament.team,TeamControl,134,0,16,0,24,0,13,0,5,0
footballtournament-project,com.axonactive.footballtournament.company,CompanyControl,78,0,10,0,17,0,11,0,6,0
footballtournament-project,com.axonactive.footballtournament.company,Company,65,40,2,0,7,10,9,4,8,4
footballtournament-project,com.axonactive.footballtournament,Main,4,0,0,0,2,0,2,0,2,0
footballtournament-project,com.axonactive.footballtournament.member.player,Player,24,10,0,0,6,3,4,1,4,1
footballtournament-project,com.axonactive.footballtournament.match,MatchScheduleControl,145,0,12,0,26,0,10,0,4,0
footballtournament-project,com.axonactive.footballtournament.match,ScoreTypes,37,0,0,0,5,0,3,0,3,0
footballtournament-project,com.axonactive.footballtournament.match,MatchResultsControl,63,0,6,0,13,0,6,0,3,0
footballtournament-project,com.axonactive.footballtournament.match,Match,97,0,0,0,11,0,14,0,14,0
footballtournament-project,com.axonactive.footballtournament.match,Winner,59,0,0,0,6,0,3,0,3,0
footballtournament-project,com.axonactive.footballtournament.match,MatchResult,70,0,6,0,16,0,12,0,9,0
footballtournament-project,com.axonactive.footballtournament.tournament,FutstalTournementControl,5,36,2,4,1,10,2,5,0,4
footballtournament-project,com.axonactive.footballtournament.member,Gender,3,45,0,0,1,5,1,2,1,2
footballtournament-project,com.axonactive.footballtournament.member,Member,94,92,22,10,1,7,21,8,5,8
